run_accession	accession	accessionVersion	authors	authorAffiliations	submitter	groupName	geoLocCountry	geoLocAdmin1	sampleCollectionDate	releasedDate	ncbiVirusName	sequencingInstrument	sequencingAssayType	sequencingProtocol	sequencedByOrganization	bioprojectAccession	biosampleAccession	library_source	library_strategy	library_selection	instrument_platform	instrument_model	read_count	base_count	first_public	insdcRawReadsAccession_raw
SRR21236138	PP_000U2BM	PP_000U2BM.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526406	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1927516	582109832	2022-08-28	SRR21236138
SRR21236137	PP_000U2CK	PP_000U2CK.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	OH	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526407	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	847001	255794302	2022-08-28	SRR21236137
SRR21236136	PP_000U2DH	PP_000U2DH.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	OH	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526408	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	574828	173598056	2022-08-28	SRR21236136
SRR21236135	PP_000U2EF	PP_000U2EF.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526409	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1254114	378742428	2022-08-28	SRR21236135
SRR21236134	PP_000U2FD	PP_000U2FD.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526410	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1213357	366433814	2022-08-28	SRR21236134
SRR21236133	PP_000U2GB	PP_000U2GB.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526411	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	927862	280214324	2022-08-28	SRR21236133
SRR21236132	PP_000U2H8	PP_000U2H8.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526412	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	2146943	648376786	2022-08-28	SRR21236132
SRR21236130	PP_000U2J6	PP_000U2J6.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526413	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1471068	444262536	2022-08-28	SRR21236130
SRR21236129	PP_000U2K4	PP_000U2K4.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526414	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1272519	384300738	2022-08-28	SRR21236129
SRR21236128	PP_000U2L2	PP_000U2L2.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526415	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	4181153	1262708206	2022-08-28	SRR21236128
SRR21236127	PP_000U2M0	PP_000U2M0.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526416	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	2594503	783539906	2022-08-28	SRR21236127
SRR21236126	PP_000U2NY	PP_000U2NY.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	OH	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526417	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	870598	262920596	2022-08-28	SRR21236126
SRR21236125	PP_000U2PW	PP_000U2PW.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	OH	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526418	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1312861	396484022	2022-08-28	SRR21236125
SRR21236124	PP_000U2QU	PP_000U2QU.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526419	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1353756	408834312	2022-08-28	SRR21236124
SRR21236123	PP_000U2RS	PP_000U2RS.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526420	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1570396	474259592	2022-08-28	SRR21236123
SRR21236122	PP_000U2SQ	PP_000U2SQ.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526421	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1088311	328669922	2022-08-28	SRR21236122
SRR21236121	PP_000U2TN	PP_000U2TN.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526422	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	2811468	849063336	2022-08-28	SRR21236121
SRR21236119	PP_000U2UL	PP_000U2UL.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526423	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	559745	169042990	2022-08-28	SRR21236119
SRR21236118	PP_000U2VJ	PP_000U2VJ.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526424	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	941851	284439002	2022-08-28	SRR21236118
SRR21236116	PP_000U2WG	PP_000U2WG.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526426	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1794272	541870144	2022-08-28	SRR21236116
SRR21236105	PP_000U2XE	PP_000U2XE.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526436	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	9088465	2744716430	2022-08-28	SRR21236105
SRR21236079	PP_000U2YC	PP_000U2YC.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526460	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	3265136	986071072	2022-08-28	SRR21236079
SRR21236114	PP_000U3J5	PP_000U3J5.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526428	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	2644280	798572560	2022-08-28	SRR21236114
SRR21236112	PP_000U3RR	PP_000U3RR.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526430	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1374993	415247886	2022-08-28	SRR21236112
SRR21236111	PP_000U3YB	PP_000U3YB.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526431	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1680548	507525496	2022-08-28	SRR21236111
SRR21236110	PP_000U45X	PP_000U45X.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526432	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	2266265	684412030	2022-08-28	SRR21236110
SRR21236131	PP_000U6LY	PP_000U6LY.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526395	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	1684899	508839498	2022-08-28	SRR21236131
SRR21236115	PP_000U6MW	PP_000U6MW.2	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	WA	2022-08	2025-02-03	Monkeypox virus					PRJNA862948	SAMN30526427	GENOMIC	Targeted-Capture	RANDOM PCR	ILLUMINA	NextSeq 2000	888401	268297102	2022-08-28	SRR21236115
SRR21403192	PP_000U6VE	PP_000U6VE.2	Ceniseros, A.	Idaho Bureau of Laboratories, Molecular Epidemiology	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA		2022-07-26	2025-02-03	Monkeypox virus					PRJNA875899	SAMN30634130									SRR21403192
SRR21684331	PP_000U811	PP_000U811.2	Gigante, C. M.; Hauser, J. R.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Mangla, A.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	DC	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652158	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	84198	21896242	2022-09-24	SRR21684331
SRR21684336	PP_000U82Z	PP_000U82Z.2	Gigante, C. M.; Pavlick, J.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Parrott, T.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	GA	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652160	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	185674	50133660	2022-09-24	SRR21684336
SRR21684324	PP_000U83X	PP_000U83X.2	Gigante, C. M.; Hauser, J. R.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Mangla, A.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	DC	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652159	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	137898	36963199	2022-09-24	SRR21684324
SRR21684328	PP_000U84V	PP_000U84V.2	Gigante, C. M.; Hauser, J. R.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Mangla, A.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	DC	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652155	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	584123	143406378	2022-09-24	SRR21684328
SRR21684329	PP_000U85T	PP_000U85T.2	Gigante, C. M.; Pavlick, J.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Parrott, T.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	GA	2022-07	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652164	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	219070	57091133	2022-09-24	SRR21684329
SRR21684341	PP_000U86R	PP_000U86R.2	Gigante, C. M.; Pavlick, J.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Parrott, T.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	GA	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652162	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	861872	226244488	2022-09-24	SRR21684341
SRR21684326	PP_000U87P	PP_000U87P.2	Gigante, C. M.; Pavlick, J.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Parrott, T.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	GA	2022-07	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652163	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	123164	36856455	2022-09-24	SRR21684326
SRR21684325	PP_000U88M	PP_000U88M.2	Gigante, C. M.; Pavlick, J.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Parrott, T.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	GA	2022-07	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652167	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	820838	219222891	2022-09-24	SRR21684325
SRR21684350	PP_000U89K	PP_000U89K.2	Gigante, C. M.; Hughes, S.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Baumgartner, J.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	NY	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652172	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	112682	24589120	2022-09-24	SRR21684350
SRR21684343	PP_000U8AH	PP_000U8AH.2	Gigante, C. M.; Johnson, S.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Riner, D.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MI	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652171	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	364567	105523294	2022-09-24	SRR21684343
SRR21684339	PP_000U8BF	PP_000U8BF.2	Gigante, C. M.; Manuzak, A.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Gose, R.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	HI	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652168	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	1319673	303090834	2022-09-24	SRR21684339
SRR21684348	PP_000U8CD	PP_000U8CD.2	Gigante, C. M.; Kubin, G.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; White, S. L.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	TX	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652174	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	485762	127491711	2022-09-24	SRR21684348
SRR21684347	PP_000U8DB	PP_000U8DB.2	Gigante, C. M.; Kubin, G.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; White, S. L.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	TX	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652176	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	314731	79722243	2022-09-24	SRR21684347
SRR21684342	PP_000U8E9	PP_000U8E9.2	Gigante, C. M.; Ghinai, I.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Kerins, J.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	IL	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652169	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	71071	17959386	2022-09-24	SRR21684342
SRR21684344	PP_000U8F7	PP_000U8F7.2	Gigante, C. M.; Griffin-Thomas, L.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Crain, J.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	VA	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652178	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	92279	23450967	2022-09-24	SRR21684344
SRR21684346	PP_000U8G5	PP_000U8G5.2	Gigante, C. M.; Griffin-Thomas, L.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Crain, J.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	VA	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652179	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	245940	62316086	2022-09-24	SRR21684346
SRR21684351	PP_000U8H2	PP_000U8H2.2	Gigante, C. M.; Xia, D.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Plipat, N.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	PA	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652173	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	737712	212958244	2022-09-24	SRR21684351
SRR21684349	PP_000U8J0	PP_000U8J0.2	Gigante, C. M.; Griffin-Thomas, L.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Crain, J.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	VA	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652180	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	80171	19454850	2022-09-24	SRR21684349
SRR21684345	PP_000U8KY	PP_000U8KY.2	Gigante, C. M.; Griffin-Thomas, L.; Zhao, H.; Batra, D.; Hetrick, E. E.; Howard, D. T.; Kovar, L.; Seabolt, M. H.; Weigand, M. R.; Burroughs, M.; Lee, J.; Wilkins, K.; McCollum, A.; Hutson, C.; Davidson, W.; Rao, A.; Crain, J.; Li, Y.	CDC, DHCPP-PRB	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	VA	2022-06	2025-02-03	Monkeypox virus					PRJNA849962	SAMN30652182	METAGENOMIC	WGS	RANDOM	ILLUMINA	Illumina NovaSeq 6000	1086218	288268257	2022-09-24	SRR21684345
SRR21403194	PP_000U8LW	PP_000U8LW.2	Ceniseros, A.	Idaho Bureau of Laboratories, Molecular Epidemiology	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA		2022-07-25	2025-02-03	Monkeypox virus					PRJNA875899	SAMN30634128									SRR21403194
SRR21403193	PP_000U8MU	PP_000U8MU.2	Ceniseros, A.	Idaho Bureau of Laboratories, Molecular Epidemiology	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA		2022-07-25	2025-02-03	Monkeypox virus					PRJNA875899	SAMN30634129									SRR21403193
SRR21403189	PP_000U8NS	PP_000U8NS.2	Ceniseros, A.	Idaho Bureau of Laboratories, Molecular Epidemiology	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA		2022-08-03	2025-02-03	Monkeypox virus					PRJNA875899	SAMN30634133									SRR21403189
SRR21403188	PP_000U8PQ	PP_000U8PQ.2	Ceniseros, A.	Idaho Bureau of Laboratories, Molecular Epidemiology	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA		2022-08-05	2025-02-03	Monkeypox virus					PRJNA875899	SAMN30634134									SRR21403188
SRR21403187	PP_000U8QN	PP_000U8QN.2	Ceniseros, A.	Idaho Bureau of Laboratories, Molecular Epidemiology	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA		2022-08-07	2025-02-03	Monkeypox virus					PRJNA875899	SAMN30634135									SRR21403187
SRR21403186	PP_000U8RL	PP_000U8RL.2	Ceniseros, A.	Idaho Bureau of Laboratories, Molecular Epidemiology	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA		2022-08-08	2025-02-03	Monkeypox virus					PRJNA875899	SAMN30634136									SRR21403186
